Node Number	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°„C)
18169	4.503e-002	-9.2308e-004	-1.1885	30.334
18170	4.503e-002	-1.8462e-003	-1.1885	30.334
18171	4.503e-002	-2.7692e-003	-1.1885	30.334
18172	4.503e-002	-3.6923e-003	-1.1885	30.334
18173	4.503e-002	-4.6154e-003	-1.1885	30.334
18174	4.503e-002	-5.5385e-003	-1.1885	30.334
18175	4.503e-002	-6.4615e-003	-1.1885	30.334
18176	4.503e-002	-7.3846e-003	-1.1885	30.334
18177	4.503e-002	-8.3077e-003	-1.1885	30.334
18178	4.503e-002	-9.2308e-003	-1.1885	30.334
18179	4.503e-002	-1.0154e-002	-1.1885	30.334
18180	4.503e-002	-1.1077e-002	-1.1885	30.334
18181	4.5389e-002	-9.2308e-004	-1.1888	30.286
18182	4.5389e-002	-1.8462e-003	-1.1888	30.286
18183	4.5389e-002	-2.7692e-003	-1.1888	30.286
18184	4.5389e-002	-3.6923e-003	-1.1888	30.286
18185	4.5389e-002	-4.6154e-003	-1.1888	30.286
18186	4.5389e-002	-5.5385e-003	-1.1888	30.286
18187	4.5389e-002	-6.4615e-003	-1.1888	30.286
18188	4.5389e-002	-7.3846e-003	-1.1888	30.286
18189	4.5389e-002	-8.3077e-003	-1.1888	30.286
18190	4.5389e-002	-9.2308e-003	-1.1888	30.286
18191	4.5389e-002	-1.0154e-002	-1.1888	30.286
18192	4.5389e-002	-1.1077e-002	-1.1888	30.286
18193	4.5455e-002	-9.2308e-004	-1.171	59.169
18194	4.5455e-002	-1.8462e-003	-1.171	59.169
18195	4.5455e-002	-2.7692e-003	-1.171	59.169
18196	4.5455e-002	-3.6923e-003	-1.171	59.169
18197	4.5455e-002	-4.6154e-003	-1.171	59.169
18198	4.5455e-002	-5.5385e-003	-1.171	59.169
18199	4.5455e-002	-6.4615e-003	-1.171	59.169
18200	4.5455e-002	-7.3846e-003	-1.171	59.169
18201	4.5455e-002	-8.3077e-003	-1.171	59.169
18202	4.5455e-002	-9.2308e-003	-1.171	59.169
18203	4.5455e-002	-1.0154e-002	-1.171	59.169
18204	4.5455e-002	-1.1077e-002	-1.171	59.169
18205	4.5875e-002	-9.2308e-004	-1.1705	58.379
18206	4.5875e-002	-1.8462e-003	-1.1705	58.379
18207	4.5875e-002	-2.7692e-003	-1.1705	58.379
18208	4.5875e-002	-3.6923e-003	-1.1705	58.379
18209	4.5875e-002	-4.6154e-003	-1.1705	58.379
18210	4.5875e-002	-5.5385e-003	-1.1705	58.379
18211	4.5875e-002	-6.4615e-003	-1.1705	58.379
18212	4.5875e-002	-7.3846e-003	-1.1705	58.379
18213	4.5875e-002	-8.3077e-003	-1.1705	58.379
18214	4.5875e-002	-9.2308e-003	-1.1705	58.379
18215	4.5875e-002	-1.0154e-002	-1.1705	58.379
18216	4.5875e-002	-1.1077e-002	-1.1705	58.379
18217	4.129e-002	-9.2308e-004	-1.1684	96.921
18218	4.129e-002	-1.8462e-003	-1.1684	96.921
18219	4.129e-002	-2.7692e-003	-1.1684	96.921
18220	4.129e-002	-3.6923e-003	-1.1684	96.921
18221	4.129e-002	-4.6154e-003	-1.1684	96.921
18222	4.129e-002	-5.5385e-003	-1.1684	96.921
18223	4.129e-002	-6.4615e-003	-1.1684	96.921
18224	4.129e-002	-7.3846e-003	-1.1684	96.921
18225	4.129e-002	-8.3077e-003	-1.1684	96.921
18226	4.129e-002	-9.2308e-003	-1.1684	96.921
18227	4.129e-002	-1.0154e-002	-1.1684	96.921
18228	4.129e-002	-1.1077e-002	-1.1684	96.921
18229	4.2026e-002	-9.2308e-004	-1.1686	89.974
18230	4.2026e-002	-1.8462e-003	-1.1686	89.974
18231	4.2026e-002	-2.7692e-003	-1.1686	89.974
18232	4.2026e-002	-3.6923e-003	-1.1686	89.974
18233	4.2026e-002	-4.6154e-003	-1.1686	89.974
18234	4.2026e-002	-5.5385e-003	-1.1686	89.974
18235	4.2026e-002	-6.4615e-003	-1.1686	89.974
18236	4.2026e-002	-7.3846e-003	-1.1686	89.974
18237	4.2026e-002	-8.3077e-003	-1.1686	89.974
18238	4.2026e-002	-9.2308e-003	-1.1686	89.974
18239	4.2026e-002	-1.0154e-002	-1.1686	89.974
18240	4.2026e-002	-1.1077e-002	-1.1686	89.974
18241	4.303e-002	-9.2308e-004	-1.1689	80.364
18242	4.303e-002	-1.8462e-003	-1.1689	80.364
18243	4.303e-002	-2.7692e-003	-1.1689	80.364
18244	4.303e-002	-3.6923e-003	-1.1689	80.364
18245	4.303e-002	-4.6154e-003	-1.1689	80.364
18246	4.303e-002	-5.5385e-003	-1.1689	80.364
18247	4.303e-002	-6.4615e-003	-1.1689	80.364
18248	4.303e-002	-7.3846e-003	-1.1689	80.364
18249	4.303e-002	-8.3077e-003	-1.1689	80.364
18250	4.303e-002	-9.2308e-003	-1.1689	80.364
18251	4.303e-002	-1.0154e-002	-1.1689	80.364
18252	4.303e-002	-1.1077e-002	-1.1689	80.364
18253	4.523e-002	-9.2308e-004	-1.1689	64.744
18254	4.523e-002	-1.8462e-003	-1.1689	64.744
18255	4.523e-002	-2.7692e-003	-1.1689	64.744
18256	4.523e-002	-3.6923e-003	-1.1689	64.744
18257	4.523e-002	-4.6154e-003	-1.1689	64.744
18258	4.523e-002	-5.5385e-003	-1.1689	64.744
18259	4.523e-002	-6.4615e-003	-1.1689	64.744
18260	4.523e-002	-7.3846e-003	-1.1689	64.744
18261	4.523e-002	-8.3077e-003	-1.1689	64.744
18262	4.523e-002	-9.2308e-003	-1.1689	64.744
18263	4.523e-002	-1.0154e-002	-1.1689	64.744
18264	4.523e-002	-1.1077e-002	-1.1689	64.744
18265	4.5649e-002	-9.2308e-004	-1.1698	60.718
18266	4.5649e-002	-1.8462e-003	-1.1698	60.718
18267	4.5649e-002	-2.7692e-003	-1.1698	60.718
18268	4.5649e-002	-3.6923e-003	-1.1698	60.718
18269	4.5649e-002	-4.6154e-003	-1.1698	60.718
18270	4.5649e-002	-5.5385e-003	-1.1698	60.718
