Node Number	X Location (m)	Y Location (m)	Z Location (m)	Temperature (°„C)
18169	4.503e-002	-9.2308e-004	-1.1885	41.806
18170	4.503e-002	-1.8462e-003	-1.1885	41.806
18171	4.503e-002	-2.7692e-003	-1.1885	41.806
18172	4.503e-002	-3.6923e-003	-1.1885	41.806
18173	4.503e-002	-4.6154e-003	-1.1885	41.806
18174	4.503e-002	-5.5385e-003	-1.1885	41.806
18175	4.503e-002	-6.4615e-003	-1.1885	41.806
18176	4.503e-002	-7.3846e-003	-1.1885	41.806
18177	4.503e-002	-8.3077e-003	-1.1885	41.806
18178	4.503e-002	-9.2308e-003	-1.1885	41.806
18179	4.503e-002	-1.0154e-002	-1.1885	41.806
18180	4.503e-002	-1.1077e-002	-1.1885	41.806
18181	4.5389e-002	-9.2308e-004	-1.1888	41.883
18182	4.5389e-002	-1.8462e-003	-1.1888	41.883
18183	4.5389e-002	-2.7692e-003	-1.1888	41.883
18184	4.5389e-002	-3.6923e-003	-1.1888	41.883
18185	4.5389e-002	-4.6154e-003	-1.1888	41.883
18186	4.5389e-002	-5.5385e-003	-1.1888	41.883
18187	4.5389e-002	-6.4615e-003	-1.1888	41.883
18188	4.5389e-002	-7.3846e-003	-1.1888	41.883
18189	4.5389e-002	-8.3077e-003	-1.1888	41.883
18190	4.5389e-002	-9.2308e-003	-1.1888	41.883
18191	4.5389e-002	-1.0154e-002	-1.1888	41.883
18192	4.5389e-002	-1.1077e-002	-1.1888	41.883
18193	4.5455e-002	-9.2308e-004	-1.171	68.995
18194	4.5455e-002	-1.8462e-003	-1.171	68.995
18195	4.5455e-002	-2.7692e-003	-1.171	68.995
18196	4.5455e-002	-3.6923e-003	-1.171	68.995
18197	4.5455e-002	-4.6154e-003	-1.171	68.995
18198	4.5455e-002	-5.5385e-003	-1.171	68.995
18199	4.5455e-002	-6.4615e-003	-1.171	68.995
18200	4.5455e-002	-7.3846e-003	-1.171	68.995
18201	4.5455e-002	-8.3077e-003	-1.171	68.995
18202	4.5455e-002	-9.2308e-003	-1.171	68.995
18203	4.5455e-002	-1.0154e-002	-1.171	68.995
18204	4.5455e-002	-1.1077e-002	-1.171	68.995
18205	4.5875e-002	-9.2308e-004	-1.1705	67.914
18206	4.5875e-002	-1.8462e-003	-1.1705	67.914
18207	4.5875e-002	-2.7692e-003	-1.1705	67.914
18208	4.5875e-002	-3.6923e-003	-1.1705	67.914
18209	4.5875e-002	-4.6154e-003	-1.1705	67.914
18210	4.5875e-002	-5.5385e-003	-1.1705	67.914
18211	4.5875e-002	-6.4615e-003	-1.1705	67.914
18212	4.5875e-002	-7.3846e-003	-1.1705	67.914
18213	4.5875e-002	-8.3077e-003	-1.1705	67.914
18214	4.5875e-002	-9.2308e-003	-1.1705	67.914
18215	4.5875e-002	-1.0154e-002	-1.1705	67.914
18216	4.5875e-002	-1.1077e-002	-1.1705	67.914
18217	4.129e-002	-9.2308e-004	-1.1684	104.36
18218	4.129e-002	-1.8462e-003	-1.1684	104.36
18219	4.129e-002	-2.7692e-003	-1.1684	104.36
18220	4.129e-002	-3.6923e-003	-1.1684	104.36
18221	4.129e-002	-4.6154e-003	-1.1684	104.36
18222	4.129e-002	-5.5385e-003	-1.1684	104.36
18223	4.129e-002	-6.4615e-003	-1.1684	104.36
18224	4.129e-002	-7.3846e-003	-1.1684	104.36
18225	4.129e-002	-8.3077e-003	-1.1684	104.36
18226	4.129e-002	-9.2308e-003	-1.1684	104.36
18227	4.129e-002	-1.0154e-002	-1.1684	104.36
18228	4.129e-002	-1.1077e-002	-1.1684	104.36
18229	4.2026e-002	-9.2308e-004	-1.1686	97.589
18230	4.2026e-002	-1.8462e-003	-1.1686	97.589
18231	4.2026e-002	-2.7692e-003	-1.1686	97.589
18232	4.2026e-002	-3.6923e-003	-1.1686	97.589
18233	4.2026e-002	-4.6154e-003	-1.1686	97.589
18234	4.2026e-002	-5.5385e-003	-1.1686	97.589
18235	4.2026e-002	-6.4615e-003	-1.1686	97.589
18236	4.2026e-002	-7.3846e-003	-1.1686	97.589
18237	4.2026e-002	-8.3077e-003	-1.1686	97.589
18238	4.2026e-002	-9.2308e-003	-1.1686	97.589
18239	4.2026e-002	-1.0154e-002	-1.1686	97.589
18240	4.2026e-002	-1.1077e-002	-1.1686	97.589
18241	4.303e-002	-9.2308e-004	-1.1689	88.306
18242	4.303e-002	-1.8462e-003	-1.1689	88.306
18243	4.303e-002	-2.7692e-003	-1.1689	88.306
18244	4.303e-002	-3.6923e-003	-1.1689	88.306
18245	4.303e-002	-4.6154e-003	-1.1689	88.306
18246	4.303e-002	-5.5385e-003	-1.1689	88.306
18247	4.303e-002	-6.4615e-003	-1.1689	88.306
18248	4.303e-002	-7.3846e-003	-1.1689	88.306
18249	4.303e-002	-8.3077e-003	-1.1689	88.306
18250	4.303e-002	-9.2308e-003	-1.1689	88.306
18251	4.303e-002	-1.0154e-002	-1.1689	88.306
18252	4.303e-002	-1.1077e-002	-1.1689	88.306
18253	4.523e-002	-9.2308e-004	-1.1689	72.807
18254	4.523e-002	-1.8462e-003	-1.1689	72.807
18255	4.523e-002	-2.7692e-003	-1.1689	72.807
18256	4.523e-002	-3.6923e-003	-1.1689	72.807
18257	4.523e-002	-4.6154e-003	-1.1689	72.807
18258	4.523e-002	-5.5385e-003	-1.1689	72.807
18259	4.523e-002	-6.4615e-003	-1.1689	72.807
18260	4.523e-002	-7.3846e-003	-1.1689	72.807
18261	4.523e-002	-8.3077e-003	-1.1689	72.807
18262	4.523e-002	-9.2308e-003	-1.1689	72.807
18263	4.523e-002	-1.0154e-002	-1.1689	72.807
18264	4.523e-002	-1.1077e-002	-1.1689	72.807
18265	4.5649e-002	-9.2308e-004	-1.1698	69.618
18266	4.5649e-002	-1.8462e-003	-1.1698	69.618
18267	4.5649e-002	-2.7692e-003	-1.1698	69.618
18268	4.5649e-002	-3.6923e-003	-1.1698	69.618
18269	4.5649e-002	-4.6154e-003	-1.1698	69.618
18270	4.5649e-002	-5.5385e-003	-1.1698	69.618
18271	4.5649e-002	-6.4615e-003	-1.1698	69.618
18272	4.5649e-002	-7.3846e-003	-1.1698	69.618
18273	4.5649e-002	-8.3077e-003	-1.1698	69.618
18274	4.5649e-002	-9.2308e-003	-1.1698	69.618
18275	4.5649e-002	-1.0154e-002	-1.1698	69.618
18276	4.5649e-002	-1.1077e-002	-1.1698	69.618
18277	4.4137e-002	-9.2308e-004	-1.1693	79.274
18278	4.4137e-002	-1.8462e-003	-1.1693	79.274
18279	4.4137e-002	-2.7692e-003	-1.1693	79.274
18280	4.4137e-002	-3.6923e-003	-1.1693	79.274
18281	4.4137e-002	-4.6154e-003	-1.1693	79.274
